word,length,entropy
aerodynamik,11,3.2776134368191165
aerodynamisk,12,3.418295834054489
aerogram,8,2.5
aerologi,8,2.75
aerosol,7,2.5216406363433186
AF,2,1.0
afart,5,1.9219280948873623
afasi,5,1.9219280948873623
afatiker,8,2.75
afatisk,7,2.5216406363433186
afbage,6,2.2516291673878226
afbagning,9,2.5032583347756456
afbalancere,11,2.845350936622437
afbalanceret,12,3.0220552088742005
afbalancering,13,3.180832987205441
afbarke,7,2.5216406363433186
afbarkning,10,2.9219280948873623
afbenytte,9,2.725480556997868
afbenyttelse,12,3.0220552088742005
afbeskikke,10,2.6464393446710153
afbeskikkelse,13,2.8150724101159437
afbestille,10,2.9219280948873623
afbestilling,12,3.251629167387823
afbestillingsforsikring,23,3.5342190211803413
afbetale,8,2.5
afbetaling,10,3.121928094887362
afbigt,6,2.584962500721156
afbilde,7,2.8073549220576046
afbildning,10,2.9219280948873623
afbinde,7,2.8073549220576046
afbinding,9,2.725480556997868
afblade,7,2.5216406363433186
afbladet,8,2.75
afbladning,10,2.9219280948873623
afblanke,8,2.75
afblankning,11,2.845350936622437
afblege,7,2.5216406363433186
afblegning,10,2.9219280948873623
afblomstre,10,3.321928094887362
afblomstring,12,3.584962500721156
afblænde,8,3.0
afblænding,10,3.121928094887362
afblæse,7,2.8073549220576046
afblæsning,10,3.1219280948873624
afbremse,8,2.75
afbremsning,11,3.277613436819116
afbrud,6,2.584962500721156
afbryde,7,2.8073549220576046
afbrydelse,10,3.1219280948873624
afbryder,8,2.75
afbrydning,10,3.1219280948873624
afbræk,6,2.584962500721156
afbrække,8,2.75
afbrækning,10,3.1219280948873624
afbrænde,8,3.0
afbrænder,9,2.94770277922009
afbrænding,10,3.121928094887362
afbud,5,2.321928094887362
afbureaukratisere,17,3.130717987927375
afbureaukratisering,19,3.431623565847432
afbøde,6,2.584962500721156
afbødning,9,2.94770277922009
afbøje,6,2.584962500721156
afbøjning,9,2.94770277922009
afdampe,7,2.5216406363433186
afdampning,10,2.9219280948873623
afdanket,8,2.75
afdansningsbal,14,2.9852281360342525
afdeling,8,3.0
afdelingssygeplejerske,22,3.5337712560645564
afdelingsvis,12,3.2516291673878226
afdrag,6,2.2516291673878226
afdrage,7,2.5216406363433186
afdragsfri,10,2.721928094887362
afdragsvis,10,2.9219280948873623
afdramatisere,13,3.0269868333592873
afdramatisering,15,3.3232314287976203
afdrift,7,2.5216406363433186
